"","mu","lambda","rho","phi","alpha1","gam","tau","omega1","omega2","alpha","beta","sigma"
"1",0.200730491143785,0.00910508795620185,2.61902181543042,0.966011819993753,0.0988744231480693,0.989380706640629,9.52481850682187,0.0202276782512562,0.0100030091579542,0.00124027944391373,0.00380585207610173,NA
"2",0.180350434654241,0.972489740675616,0.0979863939416613,0.599995389799884,0.0817659421451522,0.774990372006084,7.90789273452256,0.0217905872172128,0.0176999287193936,0.0175293374513097,0.00174045240393915,NA
"3",0.22591976309554,0.23954077082498,1.62650601271499,0.862360848731115,0.0999019807670346,0.926621871295912,5.21808113844798,0.0299620431588486,0.0100581606556809,2.4320417464278e-05,1.89699829135221e-05,NA
"4",0.223063599744071,1.41803742318484e-05,1.79568020406182,0.999999855825638,0.000895490713590308,0.999173374151449,9.99684935538681,0.0299978427364063,0.0182952863837135,8.37448085421424e-08,1.70182526194631e-07,NA
"5",0.239763552233114,0.451593460447393,1.34728262504595,0.999994390607432,0.0999999945784612,4.77869804170293e-05,9.43156273692564,0.0299998893081274,0.0109539538886855,3.02731963007284e-08,3.97057399315694e-09,NA
"6",0.246166531720934,0.9933490604115,1.16254843943106,0.500012196756644,0.0637005006333274,0.998157601023932,9.99894777832277,0.0299962093432831,0.0199999989954294,4.16754627435295e-06,5.75818463014081e-15,NA
"7",0.238611314646659,0.999998502877416,2.99999999999875,0.999637933030526,0.0999999999943541,0.988313733045653,5.00158459992562,0.0200000094307294,0.0100000029637247,1.56917102210306e-12,1.98051838286934e-09,NA
"8",0.249841930827758,0.781207572980351,1.17328135790688,0.971064972717498,0.099955504082966,0.0430803696532395,9.97789356265383,0.0299998467923461,0.0199866988426749,0.000206920905860036,3.22484106694256e-08,NA
"9",0.252853474611892,0.511602547236941,1.3477105759619,0.500005683074198,0.00525861980304918,0.995674750349781,9.96266464908198,0.027195473057045,0.0199996009753158,0.000117195344186994,2.30929346851294e-07,NA
"10",0.257087606664069,0.244396311496637,2.37966163912347,0.999999999987961,0.0625401454468721,0.995341106016924,9.99998604500808,0.0200000024852731,0.0102594050730556,1.51833841080126e-07,7.05105604637209e-09,NA
"11",0.216067680995913,3.79427890365608e-05,2.99623896573988,0.999398225332888,2.53050810120993e-06,0.311642454066679,9.99907502078607,0.0236216123063574,0.0179425221753219,0.00162436178952155,0.000349688259547562,0.252768293621122
"12",0.20788088499132,0.164883941375943,0.0764843876733334,0.802261554381904,0.0741253622303888,0.663682992011796,6.46082308512332,0.0287341226228556,0.01984735572259,0.0201357069244167,0.00247064594198584,0.257024552436397
"13",0.216276298788749,0.877661796229303,2.80219270028987,0.996815028306598,0.001314761350129,0.0221710504568214,9.81298799868596,0.0299615983677643,0.0195669306872139,0.000114566272069412,0.000552921214467485,0.243945857532838
"14",0.243661124947763,0.947031414594378,1.57005315515208,0.536957836658869,0.00421922356363123,0.564738495538041,8.68800883734339,0.0288195137479428,0.019736690437369,0.0970914545098541,0.000163043722034884,0.262470746398721
"15",0.215516116642648,0.970500053287116,2.98374265663705,0.909447429800418,0.00897020805140845,0.509028156773362,9.99199901134112,0.0200366768940707,0.0168061049448306,0.000205480480172172,3.21527835290236e-05,0.247489532770375
"16",0.217512532706076,0.265210032799545,2.73864412559377,0.500039038508906,0.0114911280120601,0.430859915779402,9.99999907883375,0.0299999793512001,0.0199190295899118,1.79546879443151e-05,0.000896095062415704,0.245740726599256
"17",0.231732916773813,0.304532100511128,0.0408673982032426,0.995518149808775,0.000259312805198598,0.0933774493929476,9.99824927690001,0.0274767617716321,0.0199962496936078,0.0964496724914818,0.00147107820637841,0.24535325296502
"18",0.213633465242374,0.968944151698941,2.89945110484738,0.718626262215395,0.000458407086186175,0.0099401373275316,9.75615207633177,0.0290004481240756,0.0199999999993942,0.000829321514734373,2.12250430200941e-07,0.237702013548411
"19",0.201601528504922,0.991690151809356,0.00937638421329711,0.582822656988487,0.0970918324729602,0.0749580181522877,9.62686625145891,0.0204059989777339,0.0139429909700298,0.0378135575619686,0.000453141676049415,0.244504996540695
"20",0.210648303590432,0.413546321790185,2.45894529916632,0.526603543204438,0.000447140344767284,0.753492078649502,5.60393367247246,0.0269184968422996,0.0160293590231216,0.0354401445805915,0.000664318900582292,0.255084582851357
"21",0.197893976430537,0.999957707766393,2.85561614621733,0.505801043210228,0.000116189900906652,0.999068668157233,9.78604428057781,0.0200659357313,0.0198003484508494,0.00234744610930575,0.000387274634265305,0.258300724888742
"22",0.210179395278166,0.0788140928977592,0.000881021892126403,0.879816060234374,0.000425230926932288,0.3928727408276,9.80346686204549,0.0260174714449209,0.0172026058532151,0.0999999202694669,1.92577688966292e-06,0.259639034462623
"23",0.214934984080715,0.0477488739702841,0.0180771724792445,0.512478197547496,0.0999831345615585,0.18254631147433,9.99996461558263,0.0204334113256633,0.0122044807613627,0.0999989642493191,7.10040030165302e-06,0.269013069745599
"24",0.203862517319867,0.99631700348286,2.24069056844014,0.548213727997781,0.0040491142911068,0.240122358961045,9.99227498158501,0.0299631785295748,0.0199548142251566,0.00133257439496778,2.52502787512797e-07,0.259948558312796
"25",0.215472164059656,0.892812705684685,0.0327030922185629,0.986027032190349,1.58900493623712e-06,0.790489977834611,9.99703099384116,0.0299805322646341,0.0190564244255083,0.0821217453798167,0.000159768295310548,0.264327311946222
