"","mu","lambda","rho","phi","alpha1","gam","tau","omega1","omega2"
"1",0.0250330254062536,0.0942682038156023,1.78003625194954,0.939264195545387,0.00350872903619717,0.752261694328105,7.63318582160399,0.0267176079304707,0.0122071746073396
"2",0.0652287472878257,0.353212306339859,1.39170013816401,0.968514327689689,0.090906033317252,0.854983048735529,6.51565005096278,0.0266733532615905,0.0161068564903437
"3",0.0664786799989967,0.284220082590352,0.0814669572966892,0.999907045902125,7.59764675052427e-14,0.00025309171019833,9.90774358860459,0.0299987549348346,0.0100890368186539
"4",0.109548969781493,0.300199868185331,0.124884600806677,0.797004162896109,0.000100232171668706,0.999994956311877,8.57256031022057,0.0299999864639866,0.0100000501531546
"5",0.137622547821549,0.300943593445917,0.192794891841677,0.562646089542145,0.0999719111159363,0.000790329358951466,9.99557234122596,0.0299749004316695,0.01000178377267
"6",0.00588281184359708,0.00156022868371414,0.110869998197021,0.882514104869295,0.0990283120911764,0.92997368227464,9.9183350060797,0.0200496071535596,0.0199891736448619
"7",0.197472889176586,0.809372588691439,0.116772313359877,0.930546210074182,0.0626501251905574,0.836067366935189,9.25483438764451,0.0217216810437286,0.0199520299448453
"8",0.1935936687186,0.296249576028911,0.19038431746149,0.996886053957755,0.0755097899556848,0.99872598823159,5.02603126750737,0.0299994522824968,0.0100002755963545
"9",0.20181527507948,0.302948203510669,0.212124048939649,0.999999999999961,6.45088485799315e-09,0.0252846713933179,8.0943221758462,0.0299963198744329,0.010000000000152
"10",0.186074801789964,0.32501910647376,0.175927272545518,0.993444006338753,0.0448274157920907,0.957154688371176,9.99792805152269,0.0287502515525372,0.0100371701627986
"11",0.230039908294603,0.950565493967312,0.0573076347643086,0.501237910004237,0.00527639789476109,0.948646567398944,5.00796549865054,0.0299481784531182,0.0199895457331349
"12",0.27429923481308,0.302706151836258,0.112666711547017,0.702987608262055,0.00828397619608777,0.825069789223527,7.91546317717707,0.0299998987227827,0.0100000985940016
"13",0.260745083455494,0.294000288910646,0.131771116767314,0.518716871752233,0.0986757573575059,0.221502040005781,6.32376636589074,0.029998759580882,0.010117154476377
"14",0.244649910642991,0.374740862609298,0.113832477746907,0.503945907256563,0.0998713301769468,0.990532678984903,7.64657652869871,0.0229220787187099,0.0100968424588507
"15",0.238199721297237,0.295258025679285,0.101042182855554,0.673285238734243,0.090379057206855,0.994913857892133,5.53160411796764,0.0272632729750166,0.011029162106279
