"","rho1","theta","beta0","beta1","gg"
"1",0.380062462385422,0,0,0.212089884918158,0.345814636410837
"2",0.594031759114272,0,0,0.223407239050684,0.531598799773659
"3",0.393146468050504,0.999717724841093,0.365882402152661,0.190875909775906,1.19191159846329e-05
"4",0.471598280798752,0.97406349787232,0.356112173253016,0.184575171578387,0.000234225696578931
"5",0.559731632615226,0.995977565481382,0.322565950601204,0.190989327822584,0.0146633490098762
"6",0.299127060728752,0.979817051331088,0.451138253787215,0.179562174284879,0.205826819319665
"7",0.454742422186807,0.999999999999942,0.360989708385415,0.197509713787647,2.36787745385258e-05
"8",0.230698349901494,0.65497021215003,0.491928128966455,0.176086067439728,0.970493349780477
"9",0.516096182399649,0.000614686637992006,0.356418145329189,0.186877262273779,0.00339317108506712
"10",0.237551068267107,7.44971099187471e-10,0.513475770299412,0.170997334393125,0.999999999999999
"11",0.250495883295332,0.82386750292294,0.511313033743764,0.173927667252833,0.814204607472007
"12",0.235287509675817,0.965794574213981,0.516306183626127,0.170821733173148,0.9863261745949
"13",0.552914327817398,0.999999939298709,0.367495784092445,0.186828456096933,0.00015600401695331
"14",0.559474647751942,0.999970807307025,0.378316462982503,0.185465841309954,4.1615839523195e-06
"15",0.240992374926898,0.238805497162092,0.529864156115259,0.169014535280265,0.99700591862621
"16",0.569601338535331,0.998917479097053,0.371215231123789,0.186525557329096,0.000109448757477497
"17",0.535781184726765,0.00141417005309655,0.367036671398582,0.182892602885366,0.00458820134519519
"18",0.538297044243934,0.999684426012404,0.371331024862972,0.184833458609456,0.00276543431351543
"19",0.26439128228233,0.986157936947916,0.507100700176755,0.170886696798444,0.53132561518665
"20",0.315165759596762,0.99986349156216,0.464307450684745,0.174253836951101,0.0175050044820788
"21",0.542588304800384,0.999999998627628,0.369183162540316,0.190558273883942,2.04906142210295e-06
"22",0.511253776257111,0.00199342239741548,0.404104239617627,0.18634372113029,0.0217247696749462
"23",0.339765238882457,0.999968719120259,0.492867058495177,0.174669140709865,0.184433258573586
"24",0.2532837474381,0.954202460374641,0.516054844242761,0.169315358500605,0.801932500778892
"25",4.75804601259797e-07,1.78221626932039e-07,0.999999999999995,0.143864518768014,5.50196316209169e-05
"26",0.549568918148947,0.70062058739979,0.3628588767874,0.185970416362428,9.37626244461498e-08
"27",0.797251202933546,2.10589804221303e-11,2.24456237270502e-05,0.218688903176292,5.72031905282714e-06
"28",0.550058029791582,0.999959986418762,0.364967352476041,0.18603531813979,2.75281489430878e-05
"29",0.790878580065288,0.999999999996,3.83113075015373e-13,0.218086323908383,3.50669250987329e-07
"30",0.230926233667914,0.44045714992152,0.511758795716313,0.168369361074139,0.930707903730961
"31",0.254019464043624,0.391855048637871,0.501833742949779,0.170812521161224,0.624013113574886
