"","mu","lambda","rho","phi","alpha1","gam","tau","omega1","omega2","alpha","beta"
"1",0.0120894356886991,0.0843025896769055,2.12479888498695,0.96976345461085,0.0998593821119543,0.99084400186032,5.86721820862954,0.0205321073948177,0.0100215349064782,0.0380457518280428,7.94617546479967e-05
"2",0.000276245635902711,0.889376497843862,1.05024895357829,0.974890364360739,0.0784339194508197,0.997529535192705,5.80370202130533,0.0299037787598511,0.0199842147557541,0.0120641687237761,0.00268566758859332
"3",0.0159229644757287,0.0109920897573216,4.25025337679472e-08,0.511818448712776,0.0999992871291263,0.999859657345417,9.99999918230684,0.0201139153020098,0.0110247316441291,0.0999999990018921,4.84458118866597e-13
"4",0.0870006748333874,0.794691416099959,0.728688658120576,0.590758471340754,0.078117008478265,0.812923223999207,9.56738349717736,0.0283536817605579,0.0117904950158357,0.000199088293113765,0.00175759542273587
"5",0.144827297121548,0.997817868830979,1.73029211185918,0.99999999754525,2.66245707311326e-06,0.736713099102295,9.99999999991391,0.0200000000160568,0.0199999999997677,6.67112966876794e-07,5.84535865304039e-21
"6",0.155893435806737,0.401279343711977,1.33442111914942,0.500000826499084,0.0405170523763272,0.999500175490262,9.92414318422752,0.0299999678202154,0.0199999999999784,1.04998454814343e-05,2.9635510706685e-16
"7",0.189266360528474,0.999489521932277,1.24350015129383,0.500008589222678,0.000115998554795471,7.31421677073964e-09,9.69435828337287,0.0299960289771017,0.0199999971074532,4.40975802681166e-05,1.50628431876245e-06
"8",0.184726582679199,0.88195928961712,0.0378459940261787,0.964520020975159,0.000275630052814495,0.989702087443704,9.9695880111444,0.0292441377774884,0.010533011329123,0.0324780181567811,9.03324570429996e-05
"9",0.211769731293522,0.53530208442468,1.31835526745118,0.999999942229098,0.0999999613084483,0.999280588392168,9.76876149403806,0.0294287873494991,0.0199999818128245,1.42040940438226e-08,1.50135682152415e-11
"10",0.189343506188888,2.85410646620933e-06,1.80788061042691,0.999490778546585,5.68103285320984e-06,0.807072964575357,9.99999963662172,0.0281805403264245,0.0199999999846329,8.99441545873484e-06,5.69477717755875e-14
"11",0.224099306205294,0.402737989726832,1.35783003085738,0.500000002362167,0.0914473360691785,0.128573202982354,9.71295879312625,0.0299999999715835,0.0199999999935067,4.84477835584401e-07,2.496450344268e-18
"12",0.256093051206637,0.762281780222761,1.3826862509312,0.999989016648186,0.00019063021510163,0.999826547987889,8.99769665482105,0.0265001903294505,0.0195867327453243,3.9090924316702e-05,2.32853760149442e-05
"13",0.255159661061269,7.92148094556738e-08,1.00494793354761e-06,0.999999555914027,0.1,0.00155295795194733,9.99999983346928,0.0202163553750429,0.0100011687624838,0.1,1.4990752479987e-32
"14",0.954121057805954,0.138421994013653,0.736262408960474,0.999822870875681,0.0746950241140137,0.989945520124116,5.04445960135242,0.0299300591724814,0.0199828389067224,0.0322145896970546,1.01940544703286e-05
"15",0.240005738147261,0.999999995236114,1.41908892752946,0.999999997020885,0.000100757070867578,0.138321530580654,9.99999999998663,0.0275423709544117,0.0106391441392947,6.03842619100189e-14,6.16455806222669e-19
"16",0.249714559104354,0.323064956358527,1.47942380208312,0.516474478265931,0.00448660605189413,0.81523367707426,9.50954477862143,0.0284024920407196,0.019998387774602,6.93173083374983e-05,1.97789818154178e-08
"17",0.262830592352258,0.0067228986809545,1.78852372737534,0.999999981342199,0.000290145192301726,0.0363787615715249,9.99996585056999,0.0200007338576462,0.0199999478905047,3.36242627355279e-07,8.68250103559088e-10
"18",0.285814977640676,0.00147069478032624,1.75966292215972,0.514800649412579,0.0999430492561591,0.995725590546303,9.94682577099205,0.0208751016158935,0.019999776315699,5.32548469446307e-07,7.67289689414379e-09
"19",0.270079159690415,0.0264128482750072,3.73106156875911e-07,0.999999999585291,0.0999999808970577,0.901750786386841,9.58463931054947,0.0299980566975648,0.0100134341345678,0.0999999999995377,1.98437421299281e-23
"20",0.275857543496068,0.368967939185389,1.38801138396268,0.993914151327194,2.28187714585156e-05,0.998245146171459,5.00409748411045,0.0297681032876283,0.019999999980674,1.94793484867885e-07,6.62932351799814e-13
"21",0.259074966347802,0.333966692377974,0.349171112111438,0.983282224855013,0.0563910510967254,0.099100379940809,9.8316611715084,0.0222266831740867,0.0199943374663261,0.0314156473340262,9.01538522872264e-06
"22",0.373716610112663,0.0612732646428356,1.27005978947653e-06,0.668107121847893,0.0521395782108818,0.999999917766401,9.9999999999997,0.0200000314183274,0.0199999980413023,0.0325515036183609,1.73263129410238e-15
"23",0.278146106630291,1.08465085142205e-06,2.02855590804612,0.988832588624913,0.0999999874339683,0.999889410077803,9.84512411040766,0.0249386948164943,0.0177131257653669,3.0934505588897e-07,4.61032166354667e-11
"24",0.294061969199183,0.999764644956173,1.35517474133777,1,0.0999999997139744,0.999999997645785,7.6579189475217,0.0299833610623884,0.0100470178997132,8.93786001704712e-15,5.1237747041756e-31
"25",0.296873580995124,0.999990978379012,1.79901709171094,0.964678168424261,0.094579111791637,0.995108913026364,9.4395079468339,0.0200092535448485,0.0199999991158422,5.41153289390337e-06,4.98609556300513e-08
"26",0.192553434309851,0.0870655410231558,0.983586672083972,0.991293315087463,0.0803107610279628,0.941133360720218,9.99898018246416,0.0299021070641731,0.0102410510731538,0.00736763126802405,0.0018211589758244
"27",0.357902291231004,0.000236613500829581,1.78324542212638,0.833739766742705,0.0997267956750724,0.999995509929563,9.99999984015206,0.0200012129422936,0.0198453705822136,0.00174391505278832,1.42487847162372e-05
"28",0.316886541360556,0.352434041121548,1.50109754014089,0.999743633903005,0.00264460753436422,0.556381548353334,9.99850044803621,0.028486382659391,0.0168291512156395,0.000779857126152478,1.00281289673014e-05
"29",0.308431661813351,0.994644486957959,1.31330074557674,0.98687348688657,4.2112778885541e-07,0.999979397726498,9.99999623798051,0.0297631355808554,0.0131912233901347,5.00046596285179e-05,4.49189734893066e-10
"30",0.312886646870944,0.0653406453735218,2.99999996991265,0.999999606867416,0.0767551943083181,0.0120448500452378,9.99991081260676,0.0299999998056542,0.0100015359893262,4.54949062190111e-16,5.24887721944982e-12
"31",0.307034241525149,0.960888197336154,1.36604496105214,0.80404236523221,0.000143866590213906,0.999053738661696,9.35784406254287,0.0299991136920556,0.0100238908482016,1.89026282645927e-06,4.11209191707924e-06
"32",0.304422390154071,0.326698497128684,1.74650585709487,0.999998790286792,0.0998064526211886,0.770362041967275,9.11559155105746,0.0298283437624745,0.0100016796965703,3.80797791350561e-06,7.17057094239298e-08
"33",0.303212279517898,0.999998719592745,1.34905281727358,0.500000120760584,0.000218615960141669,0.999999995069424,9.99999999885285,0.0299999998319163,0.0100002503245586,1.19799317895448e-09,2.40719379714639e-14
"34",0.278425815954944,0.999999999992848,1.87705499771312,0.999999999978074,0.0999999999224232,0.999999999999992,9.99999999999648,0.0200000001611019,0.0130018489982719,1.17386380682795e-09,2.57782175692122e-21
"35",0.999982178940159,0.63797491945279,1.9045668814126,0.999387968642135,0.00665424926683355,0.376912908578068,9.99587046567384,0.0244432065704836,0.0109602647378482,0.000130513076480142,8.24038004133947e-07
"36",0.286135215187576,0.400746598707886,1.39435334927473,0.624666031445865,0.0999968378134351,0.106536469767801,9.97384880799191,0.0299984861662457,0.0199999519575132,4.44362519148819e-06,4.8399379279508e-13
"37",0.275572621686205,0.952954547670057,1.79173003576871,0.99999889281425,0.00254790559073194,0.974797957476896,9.95097854197534,0.0200019675451525,0.0198105357013335,1.01205160297353e-05,1.05438404588763e-07
"38",0.288793898973163,0.330150280438399,1.73375818519084,0.999999998820684,0.0999997268051024,0.996456590226608,9.99999365356018,0.029999383936297,0.0100013668046945,3.48951650055681e-10,2.11159620351279e-15
"39",0.288639602755814,0.443780087936441,1.38190524245523,0.999935055134851,0.082790901995739,0.0440491773063922,5.04755546854267,0.0299944304086129,0.0183343502223142,0.000107777985906292,3.04775880822046e-06
"40",0.300265967553721,4.93144120034642e-06,2.99990185044118,0.990392800278629,0.09999993741038,0.963936617578379,7.19649429957717,0.0228751409967125,0.0118767437015031,2.70558826177113e-06,2.91421217056865e-11
"41",0.294341659230034,0.0523644957683235,2.99984049745111,0.602612165026565,0.0999888100136157,0.999999981525439,9.99973716019859,0.0299999999999128,0.0100000104287891,7.64336187223951e-16,1.34309660876855e-07
"42",0.298174933112365,0.0877903764635489,3,0.906744732627065,7.63158502542619e-23,0.999999962074972,5,0.0226937660459907,0.0100000011076953,6.13037138481275e-31,2.55657193396088e-14
"43",0.293896004706323,0.365238175406248,1.40915545594708,0.943760880351774,0.0941087195953518,0.986204695864697,9.91216539538863,0.0288588685773109,0.0199997150822977,1.12581568603282e-06,8.29314071947136e-07
"44",0.300181038815947,0.0532148386511689,2.99999999792184,0.999999873824111,0.0997706149024524,0.999999999669789,6.43323781986259,0.0299377708463343,0.0100000031906529,2.03457363577509e-06,5.52387257229255e-14
"45",0.999776965136731,0.00367864653899576,0.0693996572750662,0.98407993558907,0.0989785961739249,0.377287803678059,8.91637081267769,0.0200049920887068,0.0199948986709622,0.0133813470375922,0.00162514235190746
"46",0.290527523514911,0.661201536348833,1.1639872144093e-07,0.999999085371906,0.0999999999999922,6.35654984844614e-06,9.9999999998697,0.0200003657384588,0.0100025853125402,0.1,5.18975600034562e-31
"47",0.285777367076601,0.393091823260043,1.34553324211543,0.999995633509301,7.31212237166608e-06,0.937753993152668,9.99999998893311,0.0296428382926717,0.0199999997776897,1.16367146569475e-09,1.6351611116142e-15
"48",0.290624827621198,0.340973820655574,1.67763650979926,0.944574989186193,0.0247480390116964,0.956608031056172,5.06147197341993,0.0299999999999175,0.0100033726226873,9.54674423893594e-07,4.25195941863844e-08
"49",0.292209257564859,0.407036759477221,1.35462900101881,0.500002237020589,0.00433634440619686,0.999999841558415,9.91728707392897,0.0299982636742648,0.0199993275086697,2.94276440104762e-08,4.42589931565259e-09
"50",0.297504638433759,0.348440819718672,1.68066588153389,0.999988559484491,0.099602519827652,0.0869364276590148,9.87991672461415,0.0298533940989576,0.0100532755813418,6.172292869761e-07,1.44477630730675e-07
