"","rho1","theta","beta0","beta1","gg"
"1",1,0,0,0,1
"2",3.25213131946733e-12,0,0,0,0.00129597759592762
"3",0.732146322901259,0.959682103796768,0.148590762893446,0.20953136291788,2.38095138900801e-07
"4",0.589010514339621,0.734547753348243,0.607861345574145,0.156520561152226,0.154559621865754
"5",0.831508682608389,0.999998140736074,0.106977399712938,0.205981926183448,0.00678694336835758
"6",0.855069741645296,0.980772504511084,0.257332335818041,0.190974212401566,3.15875474961816e-07
"7",0.843735617317164,0.998625292315936,0.28883409954911,0.18953430883721,0.00107669353621507
"8",0.830915455355774,0.000398057135093128,0.380113913263291,0.17834694231568,0.00310743538142198
"9",0.898239586932249,0.985210240651418,0.219381603217257,0.194415875094781,1.15559398184634e-05
"10",0.914450071061615,0.367676077581578,0.222278939454188,0.193491351151807,0.00453041832733768
"11",0.898471290896088,0.000152886824769306,0.230353317768598,0.193754696108235,1.6679735881272e-06
"12",0.87805708033925,0.999603936910934,0.250480867105511,0.193010085914968,3.07634204743596e-06
"13",0.895962112032295,0.998357566666288,0.235895621301275,0.193124171374334,1.82848987049325e-05
"14",0.912834062090096,0.438564120789013,0.243682065999721,0.19376076992436,0.0108926078786098
"15",0.933734618128369,0.979506508736317,0.223048380979158,0.190975281224583,0.00169347574092652
"16",0.91469897438503,0.000104174271122628,0.22435104070103,0.193169617521531,1.702624930067e-06
"17",0.931197148845426,0.0370959468400206,0.22837686422862,0.191943791407649,0.0128757903651202
"18",0.950521521150168,0.999715776491658,0.237528979067884,0.190030216792161,0.0326917421200942
"19",0.952689703328016,0.940556043580897,0.253042785366316,0.187331368164302,0.0316576077798329
"20",0.961022039515458,3.38013494893165e-05,0.237288244028933,0.189439056785103,0.0259896237330878
"21",0.808445521296504,0.113527732161766,0.646190563128707,0.170267872004274,0.113289031615614
"22",0.911764436442593,0.179622410792797,0.218307736344001,0.193879928506933,0.00116149775904831
"23",0.928525584087976,0.999999998917621,0.22121372197311,0.193439214090369,0.0107699745687079
"24",0.914030286970373,0.893441472968122,0.216741419536945,0.195236378763512,0.00616485507589526
"25",0.939679616918009,0.986351219357224,0.161737809453678,0.201245459939492,0.0165692593686284
"26",0.920288714288795,0.999999996557094,0.200324704734362,0.197300729898721,0.00498491640835849
"27",0.926177573866042,0.160768416274999,0.191947419446313,0.196932156875977,0.00134811294225859
"28",0.917148297339528,0.089160345243099,0.196192497401795,0.197932140158526,0.0037059236958626
"29",0.304205785917733,0.999999850883183,0.650936952415388,0.134747626323055,0.999051592950835
"30",0.91825497578139,0.815319241066431,0.195400694000323,0.198124311430921,0.00318380386351248
"31",0.908746220199217,1.15049169475877e-06,0.202105044608487,0.19819959926913,0.00101341449418078
"32",0.919727762203103,0.842878646171707,0.192773216987603,0.198536085149174,0.00321937590287007
"33",0.92895159702052,0.00218723621260903,0.194237183149421,0.198278623148015,0.00785609094510497
"34",0.923481320985227,0.913286101640796,0.187720839307832,0.198518706271762,0.00331460469731376
"35",0.930050297270757,0.999534642238672,0.194940360176873,0.196855036793241,0.000313869811662177
"36",0.437094019603928,0.253223212749394,0.741923124040054,0.138182298655035,0.910120276721962
"37",0.916602527578201,0.000301904660024805,0.359284133236477,0.190901500692063,0.0335464340099801
"38",0.90988049651104,0.99985369458628,0.197610578473752,0.198420186494743,5.55822941464552e-06
"39",0.903536151716196,0.607018166704318,0.200273404665214,0.198825598376866,0.000619845590675752
"40",0.898589774524179,0.0118820101180977,0.188192434341892,0.20011669704964,0.000490386428481833
"41",0.895160159002872,1.423792966802e-07,0.186538511829665,0.201114967683516,0.0027658301247541
"42",0.88378035027999,1.55319241666729e-15,0.2054258962228,0.199641624063708,0.00265946963926812
"43",0.87228775864103,0.999904326370257,0.215199592784671,0.198734508176798,0.00268670217107061
"44",0.890770573513553,0.985203602770948,0.191737255872081,0.201450410641337,6.96462633032368e-06
